#! FIELDS p.x file.free der_p.x
#! SET min_p.x -8.4
#! SET max_p.x 8.4
#! SET nbins_p.x  101
#! SET periodic_p.x false
   -8.400000000  -34.431161622  -26.731080573
   -8.232000000  -35.508618506   11.122743433
   -8.064000000  -32.315351203   21.518131967
   -7.896000000  -29.615455967    8.713071978
   -7.728000000  -29.378055415   -4.482970667
   -7.560000000  -30.510874247   -7.223201657
   -7.392000000  -31.340548528   -1.754544928
   -7.224000000  -30.994343792    5.589743661
   -7.056000000  -29.728266297    8.336904832
   -6.888000000  -28.504996486    5.661582820
   -6.720000000  -27.808169980    3.126987980
   -6.552000000  -27.250427782    3.861057891
   -6.384000000  -26.502456848    4.668233379
   -6.216000000  -25.825209693    2.972339557
   -6.048000000  -25.563436419    0.051488132
   -5.880000000  -25.792304110   -2.710431209
   -5.712000000  -26.396553304   -4.144206406
   -5.544000000  -27.029113269   -3.007126447
   -5.376000000  -27.343048698   -0.910497333
   -5.208000000  -27.473343294   -1.209069118
   -5.040000000  -27.878590604   -3.771263571
   -4.872000000  -28.691206468   -5.631958792
   -4.704000000  -29.684026765   -6.113375459
   -4.536000000  -30.759388940   -6.853689776
   -4.368000000  -32.010378175   -8.013960548
   -4.200000000  -33.375780487   -7.957246994
   -4.032000000  -34.567583925   -5.973678393
   -3.864000000  -35.320893377   -2.985810319
   -3.696000000  -35.609144141   -0.781777417
   -3.528000000  -35.735797496   -1.329345588
   -3.360000000  -36.243922203   -5.208221063
   -3.192000000  -37.561086666  -10.415488592
   -3.024000000  -39.589210651  -12.986052175
   -2.856000000  -41.599591891  -10.075709067
   -2.688000000  -42.798110260   -4.296814955
   -2.520000000  -43.275038755   -2.578501126
   -2.352000000  -44.043816515   -7.404403735
   -2.184000000  -45.812543499  -13.232486721
   -2.016000000  -48.222367447  -14.635391091
   -1.848000000  -50.492463777  -11.922636421
   -1.680000000  -52.074959655   -6.600885531
   -1.512000000  -52.634297684   -0.234213270
   -1.344000000  -52.303846325    3.373837236
   -1.176000000  -51.708324955    3.352245294
   -1.008000000  -51.146369228    3.651344712
   -0.840000000  -50.356394201    5.885824166
   -0.672000000  -49.169458190    7.968613872
   -0.504000000  -47.764221875    8.424083357
   -0.336000000  -46.386980688    7.866594674
   -0.168000000  -45.068287740    7.975517353
    0.000000000  -43.659004673    8.724876303
    0.168000000  -42.206859121    8.082097079
    0.336000000  -41.101069962    4.490206657
    0.504000000  -40.838006331   -1.666907519
    0.672000000  -41.606730433   -7.013071358
    0.840000000  -42.900910408   -7.491833232
    1.008000000  -43.870503192   -3.739529895
    1.176000000  -44.157695711   -0.091600544
    1.344000000  -44.066246103    0.581974920
    1.512000000  -44.102223957   -1.276918209
    1.680000000  -44.461492294   -2.687195522
    1.848000000  -44.814886556   -0.957241979
    2.016000000  -44.631890339    3.239890453
    2.184000000  -43.804720694    5.829321093
    2.352000000  -43.030788737    2.100760653
    2.520000000  -43.411324215   -7.030069150
    2.688000000  -45.202570170  -13.002871689
    2.856000000  -47.222307147   -9.607531997
    3.024000000  -48.180602777   -2.098143551
    3.192000000  -48.255902778   -0.261534141
    3.360000000  -48.639941742   -4.899522084
    3.528000000  -49.812357243   -8.297448090
    3.696000000  -51.115105184   -6.579588698
    3.864000000  -51.964046184   -3.882950984
    4.032000000  -52.577461093   -3.859680483
    4.200000000  -53.275490660   -4.255044265
    4.368000000  -53.900576496   -3.116451701
    4.536000000  -54.390470347   -3.226111966
    4.704000000  -55.104764167   -5.385248812
    4.872000000  -56.077232135   -5.670040017
    5.040000000  -56.858855868   -3.612766342
    5.208000000  -57.367728864   -2.890565349
    5.376000000  -57.872822154   -2.973414021
    5.544000000  -58.182914976   -0.151973074
    5.712000000  -57.780397234    4.867763067
    5.880000000  -56.674783324    7.504348408
    6.048000000  -55.509533473    5.735208637
    6.216000000  -54.802006525    2.859772883
    6.384000000  -54.361202247    2.961804512
    6.552000000  -53.641079918    5.762290202
    6.720000000  -52.417492572    8.582028478
    6.888000000  -50.811018342   10.293382171
    7.056000000  -49.032278908   10.469538998
    7.224000000  -47.425006133    8.242079266
    7.392000000  -46.281254416    5.560913841
    7.560000000  -45.446500716    4.244075594
    7.728000000  -45.173748862   -3.068403130
    7.896000000  -47.226035075  -22.922772033
    8.064000000  -52.518012657  -35.855229034
    8.232000000  -56.889585290   -7.956995689
    8.400000000  -53.081176328   55.411432887
